SKU,mes_label,volumen
30000088,Septiembre 2027,5.147
30000088,Octubre 2027,7.691
30000088,Noviembre 2027,7.134
30000088,Diciembre 2027,5.664
30000089,Enero 2026,7.885
30000089,Febrero 2026,7.046
30000089,Marzo 2026,9.02
30000089,Abril 2026,8.481
30000089,Mayo 2026,8.174
30000089,Junio 2026,7.606
30000089,Julio 2026,11.236
30000089,Agosto 2026,7.356
30000089,Septiembre 2026,10.476
30000089,Octubre 2026,5.375
30000089,Noviembre 2026,5.527
30000089,Diciembre 2026,5.527
30000089,Enero 2027,6.463
30000089,Febrero 2027,7.729
30000089,Marzo 2027,7.548
30000089,Abril 2027,8.838
30000089,Mayo 2027,9.501
30000089,Junio 2027,7.705
30000089,Julio 2027,7.523
30000089,Agosto 2027,9.482
30000089,Septiembre 2027,11.394
30000089,Octubre 2027,5.091
30000089,Noviembre 2027,3.805
30000089,Diciembre 2027,4.08
30000090,Enero 2026,5.803
30000090,Febrero 2026,6.881
30000090,Marzo 2026,5.842
30000090,Abril 2026,8.428
30000090,Mayo 2026,6.822
30000090,Junio 2026,6.18
30000090,Julio 2026,9.593
30000090,Agosto 2026,6.334
30000090,Septiembre 2026,11.392
30000090,Octubre 2026,6.454
30000090,Noviembre 2026,5.0
30000090,Diciembre 2026,5.0
30000090,Enero 2027,5.964
30000090,Febrero 2027,7.132
30000090,Marzo 2027,6.965
30000090,Abril 2027,8.155
30000090,Mayo 2027,8.766
30000090,Junio 2027,7.11
30000090,Julio 2027,6.942
30000090,Agosto 2027,8.749
30000090,Septiembre 2027,10.513
30000090,Octubre 2027,4.698
30000090,Noviembre 2027,3.511
30000090,Diciembre 2027,3.764
30000092,Enero 2026,13.8
30000092,Febrero 2026,19.78
30000092,Marzo 2026,22.4
30000092,Abril 2026,20.66
30000092,Mayo 2026,20.86
30000092,Junio 2026,11.76
30000092,Julio 2026,20.7
30000092,Agosto 2026,44.023
30000092,Septiembre 2026,54.0
30000092,Octubre 2026,53.0
30000092,Noviembre 2026,54.0
30000092,Diciembre 2026,50.0
30000092,Enero 2027,13.8
30000092,Febrero 2027,19.78
30000092,Marzo 2027,22.4
30000092,Abril 2027,20.66
30000092,Mayo 2027,20.86
30000092,Junio 2027,11.76
30000092,Julio 2027,29.75
30000092,Agosto 2027,45.0
30000092,Septiembre 2027,54.0
30000092,Octubre 2027,53.0
30000092,Noviembre 2027,54.0
30000092,Diciembre 2027,50.0
30000094,Enero 2026,25.9
30000094,Febrero 2026,24.3
30000094,Marzo 2026,29.4
30000094,Abril 2026,22.76
30000094,Mayo 2026,26.08
30000094,Junio 2026,25.92
30000094,Julio 2026,21.3
30000094,Agosto 2026,38.148
30000094,Septiembre 2026,22.0
30000094,Octubre 2026,20.0
30000094,Noviembre 2026,20.0
30000094,Diciembre 2026,22.0
30000094,Enero 2027,25.9
30000094,Febrero 2027,24.3
30000094,Marzo 2027,29.4
30000094,Abril 2027,22.76
30000094,Mayo 2027,26.08
30000094,Junio 2027,25.92
30000094,Julio 2027,28.867
30000094,Agosto 2027,22.0
30000094,Septiembre 2027,22.0
30000094,Octubre 2027,20.0
30000094,Noviembre 2027,20.0
30000094,Diciembre 2027,20.0
30000097,Enero 2026,20.468
30000097,Febrero 2026,22.959
30000097,Marzo 2026,26.804
30000097,Abril 2026,18.634
30000097,Mayo 2026,25.201
30000097,Junio 2026,26.857
30000097,Julio 2026,29.091
30000097,Agosto 2026,27.715
30000097,Septiembre 2026,30.063
30000097,Octubre 2026,26.148
30000097,Noviembre 2026,29.631
30000097,Diciembre 2026,29.805
30000097,Enero 2027,25.366
30000097,Febrero 2027,26.816
30000097,Marzo 2027,26.699
30000097,Abril 2027,30.792
30000097,Mayo 2027,31.23
30000097,Junio 2027,25.758
30000097,Julio 2027,24.332
30000097,Agosto 2027,27.53
30000097,Septiembre 2027,27.935
30000097,Octubre 2027,28.929
30000097,Noviembre 2027,24.612
30000097,Diciembre 2027,26.362
30000107,Enero 2026,7.34
30000107,Febrero 2026,6.8
30000107,Marzo 2026,12.06
30000107,Abril 2026,13.58
30000107,Mayo 2026,14.76
30000107,Junio 2026,10.94
30000107,Julio 2026,11.58
30000107,Agosto 2026,8.894
30000107,Septiembre 2026,25.327
30000107,Octubre 2026,42.0
30000107,Noviembre 2026,43.0
30000107,Diciembre 2026,44.0
30000107,Enero 2027,7.34
30000107,Febrero 2027,6.8
30000107,Marzo 2027,12.06
30000107,Abril 2027,13.56
30000107,Mayo 2027,14.76
30000107,Junio 2027,10.94
30000107,Julio 2027,11.06
30000107,Agosto 2027,12.0
30000107,Septiembre 2027,25.327
30000107,Octubre 2027,42.0
30000107,Noviembre 2027,43.0
30000107,Diciembre 2027,44.0
30000108,Enero 2026,1.56
30000108,Febrero 2026,2.5
30000108,Marzo 2026,1.58
30000108,Abril 2026,2.98
30000108,Mayo 2026,1.92
30000108,Junio 2026,0.54
30000108,Julio 2026,0.92
30000108,Agosto 2026,0.49
30000108,Septiembre 2026,2.0
30000108,Octubre 2026,2.0
30000108,Noviembre 2026,1.0
30000108,Diciembre 2026,2.0
30000108,Enero 2027,1.56
30000108,Febrero 2027,2.5
30000108,Marzo 2027,1.58
30000108,Abril 2027,2.98
30000108,Mayo 2027,1.92
30000108,Junio 2027,0.54
30000108,Julio 2027,1.795
30000108,Agosto 2027,3.0
30000108,Septiembre 2027,2.0
30000108,Octubre 2027,2.0
30000108,Noviembre 2027,1.0
30000108,Diciembre 2027,2.0
30000109,Enero 2026,7.12
30000109,Febrero 2026,4.14
30000109,Marzo 2026,1.78
30000109,Abril 2026,4.28
30000109,Mayo 2026,2.3
30000109,Junio 2026,3.72
30000109,Julio 2026,2.18
30000109,Agosto 2026,0.286
30000109,Septiembre 2026,2.0
30000109,Octubre 2026,3.955
30000109,Noviembre 2026,4.329
30000109,Diciembre 2026,4.0
30000109,Enero 2027,7.262
30000109,Febrero 2027,4.223
30000109,Marzo 2027,1.816
30000109,Abril 2027,4.366
30000109,Mayo 2027,2.346
30000109,Junio 2027,3.794
30000109,Julio 2027,3.538
30000109,Agosto 2027,2.04
30000109,Septiembre 2027,2.04
30000109,Octubre 2027,4.034
30000109,Noviembre 2027,4.416
30000109,Diciembre 2027,4.08
30000115,Enero 2026,37.544
30000115,Febrero 2026,31.675
30000115,Marzo 2026,38.692
30000115,Abril 2026,44.369
30000115,Mayo 2026,38.724
30000115,Junio 2026,29.691
30000115,Julio 2026,63.667
30000115,Agosto 2026,50.952
30000115,Septiembre 2026,76.679
30000115,Octubre 2026,22.0
30000115,Noviembre 2026,23.03
30000115,Diciembre 2026,21.188
30000115,Enero 2027,33.16
30000115,Febrero 2027,38.551
30000115,Marzo 2027,37.682
30000115,Abril 2027,45.385
30000115,Mayo 2027,47.708
30000115,Junio 2027,41.385
30000115,Julio 2027,39.365
30000115,Agosto 2027,51.327
30000115,Septiembre 2027,68.457
30000115,Octubre 2027,24.579
30000115,Noviembre 2027,19.255
30000115,Diciembre 2027,21.378
30000116,Enero 2026,10.922
30000116,Febrero 2026,14.321
30000116,Marzo 2026,17.057
