SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,1.7712,1.6,2.4462,2.4462,0.0,0.0,1.871748
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.324,1.4,0.432,0.432,0.0,0.0,0.7583759999999999
30001995,MARGARINA SUREÑA POT 24X250GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.07200000000000001,0.1,0.09,0.09,0.0,0.0,0.0935
30000068,MARGARINA SUREÑA LIGHT 6X1KG,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.036,0.1,0.042,0.036,0.0,0.0,0.07100000000000001
30000088,MARG LONCO C/L SIN LACT 12X500GR,LONCOLECHE,MARGARINA FUNCIONAL,MARGARINA FUNCIONAL,Unimarc,202534,202508,0.192,0.3,0.21,0.21,0.0,0.0,0.2545000000000001
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.462,0.7,0.4914,0.4914,0.0,0.0,0.6576500000000001
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,2.1438,3.3,2.327399999999999,2.327399999999999,0.0,0.0,3.0726
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,2.673,2.0,2.9754,2.889,0.0864,0.0,3.01095
30001995,MARGARINA SUREÑA POT 24X250GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Unimarc,202534,202508,0.216,0.5,0.222,0.222,0.0,0.0,0.52975
30000068,MARGARINA SUREÑA LIGHT 6X1KG,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Walmart,202534,202508,0.096,0.2,0.126,0.126,0.0,0.0,0.116
