SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30001527,SALSA WASIL BOLOGNESA VEGGIE 16X340 TTR,WASIL,SALSAS PREPARADAS WASIL,SALSAS,Supermercados Region,202610,202603,0.0272,0.0816,0.0272,0.0272,0.0,0.0,0.0
30001540,PASTELERA DE CHOCLO 16X380GR,WASIL,PLATOS PREPARADOS WASIL,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.05472,0.09528121191015147,0.0608,0.0608,0.0,0.0,0.0
30001574,YOGU YOGU ORIGINAL MORA LV 12x1LT,YOGU YOGU,YOGU YOGU FAMILIAR,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.336,0.384,0.396,0.396,0.0,0.0,0.0
30001597,FRUTILLAS WASIL 16X500G,WASIL,OTROS CONSERVAS FRUTA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.136,0.3132112,0.144,0.144,0.0,0.0,0.0
30001598,DURAZNOS MITADES WASIL 16X500G,WASIL,DURAZNO CONSERVA TETRA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.448,0.3833203110466199,0.448,0.448,0.0,0.0,0.0
30001656,MERMELADA WATTS MORA 12X360GR,WATT'S,MERMELADAS WATTS DOYPACK,MERMELADAS,Supermercados Region,202610,202603,0.216,0.230208598321038,0.26352,0.216,0.04752000000000001,0.0,0.0
30001657,MERMELADA WATTS FRUTILLA 12X360GR,WATT'S,MERMELADAS WATTS DOYPACK,MERMELADAS,Supermercados Region,202610,202603,0.12096,0.1272958534723989,0.12096,0.12096,0.0,0.0,0.0
30001661,MERMELADA WATTS DAMASCO 12X360GR,WATT'S,MERMELADAS WATTS DOYPACK,MERMELADAS,Supermercados Region,202610,202603,0.0864,0.09249554820656321,0.0864,0.0864,0.0,0.0,0.0
30001665,LP LONCO EXTRA CALCIO 10X800GR,LONCOLECHE,LECHE EN POLVO ESPECIAL ADULTO,LECHES EN POLVO,Supermercados Region,202610,202603,0.064,0.05360930375531534,0.064,0.064,0.0,0.0,0.0
30001683,DAMASCOS MITADES WASIL 16X500GR,WASIL,OTROS CONSERVAS FRUTA,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.008,0.07995589794064203,0.008,0.008,0.0,0.0,0.0
